"productId","language","packageName","version","referenceUrl"
"67","RUBY","google-cloud-profiler-v2","BETA","https://googleapis.dev/ruby/google-cloud-profiler-v2/latest"
"67","PHP","google/cloud-profiler","BETA","http://googleapis.github.io/google-cloud-php/#/docs/cloud-profiler/latest"
"491","RUBY","google-cloud-apigee_connect","GA","https://googleapis.dev/ruby/google-cloud-apigee_connect/latest"
"18","PYTHON","google-cloud-bigquery-logging","BETA","https://googleapis.dev/python/bigquerylogging/latest"
"378","PYTHON","google-cloud-dms","GA","https://googleapis.dev/python/datamigration/latest"
"46","CSHARP","Google.Cloud.Billing.V1","GA","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Billing.V1/latest"
"18","JAVA","google-cloud-bigquery","GA","https://googleapis.dev/java/google-cloud-bigquery/latest"
"50","RUBY","google-cloud-dataflow-v1beta3","BETA","https://googleapis.dev/ruby/google-cloud-dataflow-v1beta3/latest"
"112","PYTHON","google-assistant-sdk","LAUNCH_STAGE_UNSPECIFIED","https://developers.google.com/assistant/sdk/overview"
"251","GO","webrisk/apiv1beta1","BETA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/webrisk/latest/apiv1beta1"
"13","PYTHON","google-cloud-storage","GA","https://googleapis.dev/python/storage/latest"
"14","JAVA","google-cloud-datastore","GA","https://googleapis.dev/java/google-cloud-datastore/latest/index.html"
"365","RUBY","google-cloud-assured_workloads-v1beta1","BETA","https://googleapis.dev/ruby/google-cloud-assured_workloads-v1beta1/latest"
"70","NODEJS","@google-cloud/resource-manager","ALPHA","https://cloud.google.com/nodejs/docs/reference/resource-manager/latest"
"55","JAVA","google-cloud-debugger-client","GA","https://googleapis.dev/java/google-cloud-debugger-client/latest/index.html"
"296","NODEJS","@google-cloud/appengine-admin","GA","https://cloud.google.com/nodejs/docs/reference/appengine-admin/latest"
"48","JAVA","gcloud-java-compute","DEPRECATED",NULL
"70","JAVA","google-cloud-resourcemanager","GA","https://googleapis.dev/java/google-cloud-resourcemanager/latest/"
"70","GO","resourcemanager/apiv2","GA","https://cloud.google.com/go/docs/reference/cloud.google.com/go/resourcemanager/latest/apiv2"
